Data;PETR4;VALE5;ITUB4;BBDC4;VALE3;PETR3;USIM5;GGBR4;BBAS3;CSNA3;IBOV
2/7/2009;26.72687815;24.23379278;22.33021195;18.34891947;28.11751195;33.92363447;19.53758362;18.83020068;15.73206122;16.51628278;51024
3/7/2009;26.53010536;24.12895441;22.15755567;18.15509285;27.97835687;33.63080686;19.26793658;18.79316981;15.73206122;16.38911588;50934
6/7/2009;25.95129811;23.69347194;22.3014359;18.17529151;27.4790357;32.65587124;19.39093347;18.47840736;15.80422664;16.18487814;50622
7/7/2009;25.35521303;22.37896006;21.94892933;18.03878181;26.10385607;32.33387415;18.80906355;17.8211093;15.64546272;15.81879161;49456
8/7/2009;25.14787909;22.71766864;21.83382515;17.58374947;26.6522908;31.87771161;18.52049391;17.74704755;15.15473787;15.63767511;49177
10/7/2009;25.63165829;22.62089476;21.58203474;17.46674116;26.60317725;32.62009378;17.78251255;17.6266972;14.8660762;15.60684677;49220
13/7/2009;25.73532526;22.78218456;21.58203474;17.68775686;26.60317725;32.55748324;16.79853739;17.31193475;14.8660762;15.48353342;49186
14/7/2009;25.56254697;22.45960496;21.35182637;17.63575317;26.37398064;32.42331779;16.72757764;17.12678037;14.8660762;15.2638815;48872
15/7/2009;26.57329993;24.33056666;22.24388381;18.39630721;28.42037889;33.63080686;17.52232681;18.52469595;15.54443113;16.26194898;51296
16/7/2009;26.7374393;24.27411523;22.58919636;18.52631645;28.46949245;33.9885814;17.97646919;19.0801591;15.54443113;16.66657094;51918
17/7/2009;27.21257958;24.33863115;22.48128619;18.56531922;28.44493567;34.70413048;18.21300168;19.14496313;15.58773038;16.8361268;52072
20/7/2009;27.55813614;25.08056424;23.43089572;19.07885571;29.53361954;35.41967957;18.7002586;20.04296189;15.84030935;17.53747152;53154
21/7/2009;27.48902483;25.45153079;23.45247775;18.88384186;29.86922885;35.36601339;19.38147217;19.87632294;16.03515598;17.7262951;53233
22/7/2009;27.37671895;25.12088669;23.51722386;18.9618474;29.26349497;35.0440163;19.63692726;20.06147733;15.97742364;17.76483053;53072
23/7/2009;27.99008185;25.72572345;24.45244536;19.4233802;29.87741444;35.95634138;20.34179408;20.50584784;16.38154999;18.16174539;54249
24/7/2009;28.07647099;25.95152917;24.52438548;19.57939128;30.12298223;35.91161956;19.8119613;20.37623978;16.74237708;18.05384621;54457
27/7/2009;28.03327642;26.15314143;24.42366932;19.56639036;30.32762206;35.86689774;19.7930387;20.15405452;16.8145425;18.11164934;54548
28/7/2009;27.42855243;26.12894796;24.38769926;19.47538389;30.23758054;35.1424043;20.34179408;19.98741557;16.99495604;18.30432646;54471
29/7/2009;26.69424473;25.685401;24.06396874;19.14386033;29.59091869;33.85441595;20.05795509;19.49675646;16.70629437;17.89970451;53734
30/7/2009;26.97068998;25.81443284;24.2869831;19.35187511;29.95927037;34.1853574;20.78174451;19.95964242;17.15371996;18.38525085;54478
31/7/2009;27.18666283;26.12894796;24.17187891;19.20886495;30.32762206;34.4805214;20.94731725;20.30217802;17.05990492;18.52012484;54765
3/8/2009;28.11966556;26.65313981;24.46837808;19.59889267;31.17073814;35.55384502;21.54810978;20.82986801;17.3846493;19.00181764;55997
4/8/2009;27.74819225;26.64507532;24.68427553;19.39373091;31.12162458;34.96351703;21.3300304;21.00576468;17.73104331;18.72821613;56038
5/8/2009;27.92097054;26.70152676;25.18083968;19.73842164;31.17073814;35.19607048;21.37753604;20.9687338;18.32279974;19.05576723;56384
6/8/2009;27.55813614;26.37894715;24.97213881;19.47827769;30.73690171;34.70413048;21.49630013;20.41327065;17.6083621;19.20990893;55754
7/8/2009;27.64452528;26.63701083;25.69899357;19.9010116;31.06432543;34.91879521;22.00936099;20.32069346;17.68052752;19.30624749;56329
10/8/2009;27.73091443;26.66926879;25.96526709;20.09611956;30.9824695;34.97246139;22.3086465;20.41327065;17.75269294;19.35249;56830
11/8/2009;26.97068998;26.08056102;24.90017299;19.50429209;30.19665257;33.86336031;22.28964424;19.82077663;17.82485835;19.00952473;55761
12/8/2009;27.54949723;26.30636674;24.71306186;19.70590364;30.47496273;34.61468685;23.04498385;20.59842503;17.92588994;19.57214192;56588
13/8/2009;28.06783208;26.97571942;24.41080543;19.49128489;31.26077966;35.15134866;23.80032346;21.17240362;18.35166591;19.72628361;57047
14/8/2009;27.94688728;27.21765412;24.03658317;19.34820572;31.51453304;34.97246139;23.09248949;21.30201169;18.25732247;19.34478292;56638
17/8/2009;27.64452528;26.07249653;23.46085663;18.80190344;30.20483816;34.61468685;22.27064199;20.3392089;17.72654408;18.57022089;55218
18/8/2009;27.92097054;25.96765816;24.28846354;19.10757257;30.0411263;34.79357412;21.90009803;20.32069346;18.14098748;18.95942867;55748
19/8/2009;28.33563842;25.9273357;24.61230972;19.34820572;30.02475512;35.2407923;21.71007549;20.30217802;18.39547027;18.80528698;56156
20/8/2009;28.55161127;26.1773349;24.9361559;19.67338565;30.26213732;35.59856684;22.2563903;20.64471363;18.64268212;19.26771207;56831
21/8/2009;29.05266829;26.76604268;24.75624135;19.70590364;30.69597374;36.32306028;22.94522202;20.98724924;18.64268212;19.38331834;57728
24/8/2009;28.85397327;27.09668677;24.98064003;19.61485326;31.06432543;36.08156247;22.49866904;21.20017678;18.64995306;19.9613497;57775
25/8/2009;28.70711172;26.93539697;25.29190271;19.77093963;30.84331442;35.87584211;22.16137903;20.74654854;18.84626835;19.61838443;57421
26/8/2009;28.65527824;26.93539697;25.84204141;20.09611956;30.76145849;35.66117738;21.88584634;20.64471363;19.12256395;19.53360649;57765
27/8/2009;28.3874719;26.89507452;25.6465974;20.09611956;30.57318985;35.15134866;21.8525924;21.2094345;19.26798269;19.51819232;57703
28/8/2009;28.11966556;27.09668677;25.6248814;20.22619153;31.01521187;35.1424043;21.62456535;21.05205327;19.35523393;19.42956085;57700
31/8/2009;27.10891261;26.53217246;25.46418299;19.99856558;30.02475512;33.56819632;21.04499659;20.42252837;19.02077084;18.89006491;56488
1/9/2009;27.29896872;26.27410878;24.73294801;19.77093963;29.926528;33.38930905;20.73620996;20.08925048;18.72266243;18.72821613;55814
2/9/2009;27.774109;25.96765816;24.6612583;19.59821324;29.47632039;33.86336031;20.42742333;19.67265312;18.54815994;18.65114528;55385
3/9/2009;27.80866465;26.24991531;24.54177546;19.65026693;29.86104326;33.78286104;20.55568854;20.01518873;18.74447524;18.8438224;55707
4/9/2009;28.08510991;26.64507532;25.16308623;20.25539105;30.36855002;34.39107776;20.90247968;20.39475521;19.30433738;19.28697978;56652
8/9/2009;28.40474973;27.24991208;25.48967266;20.51565948;31.35082118;35.13345993;21.77183282;21.01502239;19.6242586;19.67233402;57854
9/9/2009;28.5084167;27.21765412;25.80829357;20.6457937;31.22803729;35.59856684;21.49630013;20.88541433;19.95145076;19.38331834;57909
10/9/2009;28.80213978;27.74184598;25.9596385;20.78894134;31.8010288;35.92950829;21.47254731;21.24646537;20.14049511;19.43726793;58535
